id;start_date;end_date;language
1;2020-01-13T23:49:40;2020-01-13T16:57:58;SPANISH
2;2020-01-14T01:19:46;2020-01-13T10:25:56;ENGLISH
3;2020-01-13T20:51:50;2020-01-13T12:15:51;ENGLISH
4;2020-01-13T10:03:42;2020-01-13T17:30:43;ENGLISH
5;2020-01-13T19:02:21;2020-01-13T23:46:30;ENGLISH
6;2020-01-14T01:19:21;2020-01-14T02:36:18;FRENCH
7;2020-01-13T10:41:41;2020-01-13T23:22:28;FRENCH
8;2020-01-13T08:13:00;2020-01-13T16:13:09;SPANISH
9;2020-01-13T18:01:06;2020-01-14T02:25:44;ENGLISH
10;2020-01-13T21:19:16;2020-01-13T18:35:30;ENGLISH
